nomor,kode,nama,jumlah_ayat
67,almulk,Al-Mulk,30
68,alqalam,Al-Qalam,52
69,alhaqqah,Al-Haqqah,52
70,almaarij,Al-Ma'arij,44
71,nuh,Nuh,28
72,aljinn,Al-Jinn,28
73,almuzzammil,Al-Muzzammil,20
74,almuddassir,Al-Muddassir,56
75,alqiyamah,Al-Qiyamah,40
76,alinsan,Al-Insan,31
77,almursalat,Al-Mursalat,50
78,naba,An-Naba',40
79,naziat,An-Nazi'at,46
80,abasa,'Abasa,42
81,at-takwir,At-Takwir,29
82,al-infitar,Al-Infitar,19
83,al-mutaffifin,Al-Mutaffifin,36
84,al-insyiqaq,Al-Insyiqaq,25
85,al-buruj,Al-Buruj,22
86,at-tariq,At-Tariq,17
87,al-ala,Al-A'la,19
88,al-gasyiyah,Al-Gasyiyah,26
89,al-fajr,Al-Fajr,30
90,al-balad,Al-Balad,20
91,asy-syams,Asy-Syams,15
92,al-lail,Al-Lail,21
93,ad-duha,Ad-Duha,11
94,asy-syarh,Asy-Syarh,8
95,at-tin,At-Tin,8
96,al-alaq,Al-Alaq,19
97,al-qadr,Al-Qadr,5
98,al-bayyinah,Al-Bayyinah,8
99,az-zalzalah,Az-Zalzalah,8
100,al-adiyat,Al-Adiyat,11
101,al-qariazh,Al-Qari'ah,11
102,at-takatsur,At-Takatsur,8
103,al-asr,Al-'Asr,3
104,al-humazah,Al-Humazah,9
105,al-fil,Al-Fil,5
106,quraisy,Quraisy,4
107,al-maun,Al-Ma'un,7
108,al-kautsar,Al-Kautsar,3
109,al-kafirun,Al-Kafirun,6
110,an-nasr,An-Nasr,3
111,al-lahab,Al-Lahab,5
112,al-ikhlas,Al-Ikhlas,4
113,al-falaq,Al-Falaq,5
114,an-nas,An-Nas,6
1,alfatihah,Al-Fatihah,7
2,albaqarah,Al-Baqarah,286
